company_name,domain,year,program,location,industries,description,image_url,linkedin_url,twitter_url,crunchbase_url
RoundPegg,https://roundpegg.com/,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States",HRtech,Software that quantifies Company Culture for smarter people decisions,https://apimg.techstars.com/connect/images/image_files/5630e681a93e9f6192000003/original/RP_logo_with_new_tag_-square.png,https://linkedin.com/company/roundpegg,https://twitter.com/roundpegg,https://crunchbase.com/organization/roundpegg
InstaGift,https://instagift.com/,2010,Techstars Seattle Accelerator,"Birmingham, Alabama, United States",E-commerce,The easiest way to sell gift cards online and build complementary rewards programs,https://apimg.techstars.com/connect/images/image_files/5361/3a78/b776/10db/7000/000c/original/Deal_Coop.jpg,https://linkedin.com/company/instagift,https://twitter.com/InstaGift,https://crunchbase.com/organization/deal-co-op
Thinkfuse,https://thinkfuse.com/,2010,Techstars Seattle Accelerator,"Seattle, Washington, United States","SaaS,Technology media and telecommunications",Share your progress,https://apimg.techstars.com/connect/images/image_files/5361/3b5d/b776/1035/b600/000a/original/ThinkFuse.jpg,https://linkedin.com/company/thinkfuse,https://twitter.com/thinkfuse,https://crunchbase.com/organization/thinkfuse
InvitedHome,https://invitedhome.com/,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States",Real estate tech,Combining the consistency and service of fine hotels with beautiful private homes in amazing destinations,https://apimg.techstars.com/connect/images/image_files/59304efac9aec71a34000007/original/social_pic.jpg,https://linkedin.com/company/invitedhome,https://twitter.com/invitedhome,https://crunchbase.com/organization/invitedhome
The Shared Web,https://useframe.com/,2010,Techstars Seattle Accelerator,"New York City, New York, United States","Adtech,E-commerce",Social Web,,https://crunchbase.com/organization/the-shared-web,https://twitter.com/thesharedweb,https://crunchbase.com/organization/the-shared-web
Lumatic,https://lumatic.com/,2010,Techstars Boulder Accelerator,"San Francisco, California, United States","Fintech,Mobile",Making cities easier to love,https://apimg.techstars.com/connect/images/image_files/535f/ea99/0444/0adb/7000/0002/original/Lumatic.jpg,https://linkedin.com/company/lumatic-imagery,https://twitter.com/lumaticinc,https://crunchbase.com/organization/lumatic
StatsMix,https://statsmix.com/,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Fintech,SaaS",Custom dashboards to aggregate metrics,https://apimg.techstars.com/connect/images/image_files/53d6c225b5e11e5a8f000001/original/statsmix.jpg,https://linkedin.com/company/927825,https://twitter.com/statsmix,https://crunchbase.com/organization/statsmix
GoMiles,https://gomiles.com/,2010,Techstars Seattle Accelerator,"Seattle, Washington, United States",Fintech,Rewards management,https://apimg.techstars.com/connect/images/image_files/5361/3a94/a6e7/4b16/2700/0004/original/GoMiles.jpg,https://linkedin.com/company/gomiles.com,https://twitter.com/GoMiles_Com,https://crunchbase.com/organization/gomiles
World Blender,,2010,Techstars Seattle Accelerator,"Tahoe Vista, California, United States","Fintech,Gaming,Mobile",Social location-based games,https://apimg.techstars.com/connect/images/image_files/5361/3b7c/a6e7/4b16/2700/0005/original/WorldBlender.jpg,https://linkedin.com/company/1436317,https://twitter.com/worldblender,https://crunchbase.com/organization/world-blender
TutorialTab,,2010,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Edtech,Learnable websites no coding,https://apimg.techstars.com/connect/images/image_files/53d6bdf7af05d7f506000006/original/tutorialtab2.png,https://linkedin.com/company/tutorialtab,https://twitter.com/tutorialtab,https://crunchbase.com/organization/tutorialtab
SparkCloud,,2010,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States","Fintech,Mobile",Meet awesome people,https://apimg.techstars.com/connect/images/image_files/5362/8a67/2db0/cdbe/4a00/0001/original/sparkcloud.jpg,https://linkedin.com/company/sparkcloud-inc.,https://twitter.com/sparkcloud,https://crunchbase.com/organization/sparkcloud
SocialSci,,2010,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States","Fintech,Mobile,Robotics and Drones",Further science,https://apimg.techstars.com/connect/images/image_files/5359/5a9b/cb58/5a41/8e00/0004/original/Socialsci.jpg,https://linkedin.com/company/socialsci,https://twitter.com/socialsci,https://crunchbase.com/organization/socialsci
SkyGlue,,2010,Techstars Seattle Accelerator,"Santa Clara, California, United States",Marketing tech,A powerful Google Analytics extension that enables people tracking and actions tracking,http://apimg.techstars.com/sf/accounts/logo/Logo_93a9f990b92a4bbe0b8e5a622.png,https://linkedin.com/company/skyglue.com,https://twitter.com/SkyGlue,https://crunchbase.com/organization/skyglue
ScriptPad,,2010,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Fintech,Mobile",iPad and iPhone e-prescribing,https://apimg.techstars.com/connect/images/image_files/535f/eb6a/a996/3e6c/ee00/0001/original/ScriptPad.jpg,https://linkedin.com/company/scriptpad-inc.,https://twitter.com/scriptpad,https://crunchbase.com/organization/scriptpad
RewardsForce,,2010,Techstars Seattle Accelerator,"Seattle, Washington, United States",SaaS,Web-based loyalty management,https://apimg.techstars.com/connect/images/image_files/5361/3b25/a6e7/4bae/2600/0008/original/RewardsForce.jpg,https://linkedin.com/company/1211507,https://twitter.com/rewardsforce,https://crunchbase.com/organization/rewardsforce
RentMonitor,,2010,Techstars Boulder Accelerator,"Des Moines, Iowa, United States","Fintech,Real estate tech",The easiest way to collect and pay rent,https://apimg.techstars.com/connect/images/image_files/573f167134b2748acc000023/original/rentmonitor_fullcolor_sqaure.jpg,https://linkedin.com/company/rentmonitor,https://twitter.com/rentmonitor,https://crunchbase.com/organization/rentmonitor
RentMatch,,2010,Techstars Seattle Accelerator,"Seattle, Washington, United States","Mobile,Real estate tech",Apartment rental search,https://apimg.techstars.com/connect/images/image_files/5361/3b0b/a6e7/4bae/2600/0007/original/RentMatch.jpg,https://linkedin.com/company/rentmatch,https://twitter.com/rentmatchcom,https://crunchbase.com/organization/rentmatch
